SoC,R0_Ohms,Temperature_C
0.982877884615385,0.0230940400496219,25.33098
0.930927564102564,0.0215470913825008,25.39486
0.880964423076923,0.0205220013223515,25.1581
0.83231217948718,0.0196640739603589,25.19221
0.784885256410256,0.0189711952548301,25.27659
0.737703205128205,0.0185173725205506,25.4793
0.690545833333333,0.0182901455950827,25.4706
0.643384294871795,0.017956525061646,25.25688
0.596219871794872,0.01784178404877,25.16036
0.549053525641026,0.0177969675033108,25.56446
0.501889102564103,0.0177411750417572,25.46923
0.454724679487179,0.0177275051778799,25.32619
0.407560256410257,0.0177533811789284,25.46704
0.360384935897436,0.0178891140814084,25.17182
0.313214743589743,0.0180314463134438,25.11878
0.266057692307692,0.0184343990878802,25.16762
0.218883974358975,0.0191755917178436,25.308
0.171722435897436,0.0204496941780744,25.44827
0.126871794871795,0.0224634450130643,25.33627
0.0884657051282051,0.0238831300249574,25.36875
0.996450641025641,0.0212920018737098,35.10555
0.947266666666667,0.0187838314456947,35.68867
0.900115384615385,0.0175438226221202,35.37864
0.85301858974359,0.0167234007788459,35.44915
0.805913461538462,0.0161265747810369,35.49705
0.758803846153846,0.0157380089123914,35.42484
0.711702243589744,0.0155462825557174,35.45055
0.664597435897436,0.0152762704409624,35.55322
0.617498076923077,0.0150639664074243,35.33853
0.570404487179487,0.0150818645371675,35.35204
0.523296474358974,0.0150315886934263,35.38995
0.476202884615385,0.0150229589665912,35.23669
0.42909967948718,0.0150331064512308,35.21584
0.382001602564103,0.0151241498103881,35.33031
0.334895192307692,0.0151997184417904,35.22665
0.287808974358974,0.0153675017938374,35.36773
0.240720833333333,0.01577544948907,35.15086
0.193625641025641,0.0164432861245348,35.24926
0.146535897435897,0.0175761000551474,35.06671
0.0994455128205128,0.0200248380217823,35.26627
1,0.0195274400363586,35.21139
0.959252243589744,0.0179629920879214,35.39606
0.909815064102564,0.0170806375073785,35.08633
0.86177532051282,0.0164367823526188,35.06191
0.814599358974359,0.0159446377147059,35.29417
0.767490064102564,0.0156125882143095,35.16881
0.720374358974359,0.0154479990877481,35.08907
0.673271153846154,0.0151540907627236,35.12531
0.626169871794872,0.015035723403169,35.11582
0.579055128205128,0.0150308952631348,34.99689
0.531934935897436,0.0150142148346232,35.13377
0.48482467948718,0.0150037971068462,35.08808
0.437711538461538,0.0150214805568708,35.32587
